tier,family,n,mean_reward,std_reward,min_reward,max_reward,mean_correctness,mean_structural,p25_tool_calls,p50_tool_calls,p75_tool_calls,p90_tool_calls
t1_absolute,absolute_single_block,25,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1.0
t2_relative_single_ref,relative_single_reference,25,1.0,0.0,1.0,1.0,1.0,1.0,2,2,2,2.0
t3_primitives,floor,11,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
t3_primitives,tower,10,0.9866666666666667,0.02666666666666666,0.9333333333333333,1.0,1.0,1.0,2.0,2.0,2.0,3.0
t3_primitives,wall,4,0.4916666666666667,0.0,0.4916666666666667,0.4916666666666667,0.5,0.75,3.0,3.0,3.0,3.0
t4_structure_relative,inside_room_through_doorway,7,0.9561904761904763,0.00933138949631689,0.9333333333333333,0.9600000000000001,1.0,1.0,5.0,5,5.0,5.4
t4_structure_relative,shorter_tower_marker,8,0.8191468253968255,0.31435045166093784,0.0,1.0,1.0,1.0,4.0,7.5,10.75,17.2
t4_structure_relative,south_face_marker,5,1.0,0.0,1.0,1.0,1.0,1.0,4,4,4,4.0
t4_structure_relative,top_of_tower,5,0.984,0.019595917942265388,0.9600000000000001,1.0,1.0,1.0,4,4,5,5.0
t5_modification,add_window_to_wall,5,0.36686956521739134,0.0038339839452258546,0.3621739130434783,0.37000000000000005,0.2965217391304348,1.0,5,5,5,5.0
t5_modification,move_window_to_opposite_wall,9,0.8888888888888888,0.31426968052735443,0.0,1.0,1.0,1.0,5,6,7,8.0
t5_modification,replace_material_preserve_shape,7,1.0,0.0,1.0,1.0,1.0,1.0,7.0,7,7.5,8.0
t5_modification,widen_or_reposition_opening,4,1.0,0.0,1.0,1.0,1.0,1.0,3.75,4.0,4.5,5.4
t6_composition,bridge_between_offset_towers,9,0.17354497354497356,0.24536120720493654,0.0,0.861904761904762,0.10582010582010581,1.0,7,10,16,17.8
t6_composition,bridge_between_structures,4,0.9583333333333334,0.043301270189221926,0.9,1.0,1.0,1.0,6.0,9.0,13.0,14.8
t6_composition,connect_rooms_with_corridor,5,0.3340663780663781,0.2796789101031144,0.0,0.6695238095238096,0.6011904761904762,0.26666666666666666,8,10,11,11.0
t6_composition,l_shaped_corridor_offset_rooms,7,0.0,0.0,0.0,0.0,0.21247947454844007,0.25657596371882085,3.5,6,10.5,14.8
